101,1,0,1,1,180,1,35
102,2,0,1,1,180,1,35
103,3,0,1,1,200,1,50
104,4,0,1,1,210,1,50
105,5,0,1,1,210,1,60
106,6,0,1,1,210,1,60
107,7,0,1,1,210,1,60
108,8,0,1,1,210,1,60
109,9,0,1,1,210,1,60
110,10,0,1,1,210,1,60
111,11,0,1,1,210,1,60
112,12,0,1,1,210,1,60
113,13,0,1,1,210,1,60
114,14,0,1,1,210,1,60
115,15,0,1,1,210,1,60
116,16,0,1,1,210,1,60
117,17,0,1,1,210,1,60
118,18,0,1,1,210,1,60
119,19,0,1,1,210,1,60
120,20,0,1,1,210,1,60
121,21,0,1,1,210,1,60
122,22,0,1,1,210,1,60
123,23,0,1,1,210,1,60
124,24,0,1,1,210,1,60
125,25,0,1,1,210,1,60
126,26,0,1,1,210,1,60
127,27,0,1,1,210,1,60
128,28,0,1,1,210,1,60
129,29,0,1,1,210,1,60
130,30,0,1,1,210,1,60
131,31,0,1,1,210,1,60
132,32,0,1,1,210,1,60
133,33,0,1,1,210,1,60
134,34,0,1,1,210,1,60
135,35,0,1,1,210,1,60
136,36,0,1,1,210,1,60
137,37,0,1,1,210,1,60
138,38,0,1,1,210,1,60
139,39,0,1,1,210,1,60
140,40,0,1,1,210,1,60
